Case Name                                                                                                                                                                                                   ,Patentee                                                                  ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,                                                                                                                                    
"Cutsforth, Inc. v. LEMM Liquidating Company, LLC et al                                                                                                                                                    ","Cutsforth, Inc.                                                         ",5/17/12    ,0:12-cv-01200,D. Minn.   ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
"Health and Home Technologies, Inc. v. Jotul As et al                                                                                                                                                      ","Health and Home Technologies, Inc.                                      ",5/22/12    ,0:12-cv-01232,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Coloplast A/S v. C.R. Bard, Inc.                                                                                                                                                                          ",Coloplast A/S                                                             ,6/1/12     ,0:12-cv-01313,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"PJC Logistics, LLC v. Toyota Motor Sales U.S.A., Inc.                                                                                                                                                     ","PJC Logistics, LLC                                                      ",6/1/12     ,0:12-cv-01315,D. Minn.   ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Donaldson Company, Inc. v. International Baghouse Supply, Inc.                                                                                                                                            ","Donaldson Company, Inc.                                                 ",6/5/12     ,0:12-cv-01337,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Polaris Industries Inc. v. BRP US Inc. et al                                                                                                                                                                ,Polaris Industries Inc.                                                   ,6/13/12    ,0:12-cv-01405,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"3M Innovative Properties Company et al v. NPV Group, LLC                                                                                                                                                  ",3M Innovative Properties Company                                          ,6/19/12    ,0:12-cv-01470,D. Minn.   ,7. IP Holding company of operating company  ,                     ,                          ,1                   ,                                                                                                                                    
"Canine EIC Genetics, LLC v. Animal Genetics, Inc.                                                                                                                                                         ","Canine EIC Genetics, LLC                                                ",7/11/12    ,0:12-cv-01667,D. Minn.   ,8. Technology development company           ,                     ,                          ,1                   ,                                                                                                                                    
"Canine EIC Genetics, LLC v. DNA Diagnostics Center, Inc.                                                                                                                                                  ","Canine EIC Genetics, LLC                                                ",7/11/12    ,0:12-cv-01668,D. Minn.   ,8. Technology development company           ,                     ,                          ,1                   ,                                                                                                                                    
"Commercial Recovery Corporation v. CU Recovery, Inc.                                                                                                                                                      ",Commercial Recovery Corporation                                           ,7/19/12    ,0:12-cv-01740,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"ATI, Inc. v. Loegering Manufacturing, Inc.                                                                                                                                                                ","ATI, Inc.                                                               ",7/20/12    ,0:12-cv-01765,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Ecolab USA, Inc. v. FMC Corporation                                                                                                                                                                       ","Ecolab USA, Inc.                                                        ",7/20/12    ,0:12-cv-01767,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
