Case Name                                                                                                                                                                                                   ,Patentee                                                                  ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,                                                                                                                                    
"Wireless Ink Corporation v. Facebook, Inc. et al                                                                                                                                                          ",Wireless Ink Corporation                                                  ,3/13/12    ,1:12-cv-01826,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
"Forest Laboratories, Inc. et al v. Indchemie Health Specialties PVT. LTD. et al                                                                                                                           ","Forest Laboratories, Inc.                                               ",3/14/12    ,1:12-cv-01855,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
Dis-Tran Wood Products L L C v. Brooks Manufacturing Co                                                                                                                                                     ,Brooks Manufacturing Co                                                   ,7/10/12    ,1:12-cv-01876,W.D. La.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
TA Operating LLC v. Cascades Branding Innovation LLC et al                                                                                                                                                  ,Cascades Branding Innovation LLC                                          ,3/15/12    ,1:12-cv-01894,N.D. Ill.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Varia Holdings LLC v. Samsung Electronics Co., Ltd. et al                                                                                                                                                 ",Varia Holdings LLC                                                        ,3/15/12    ,1:12-cv-01899,S.D.N.Y.   ,5. Patent holding company                   ,                     ,                          ,3                   ,                                                                                                                                    
"Specialty Surfaces International, Inc. v. Athletic Surfacesplus LLC                                                                                                                                       ","Specialty Surfaces International, Inc.                                  ",6/1/12     ,1:12-cv-01901,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"GLYCOBIOSCIENCES, INC. v. INNOCUTIS HOLDINGS, LLC et al                                                                                                                                                   ","GLYCOBIOSCIENCES, INC.                                                  ",11/25/12   ,1:12-cv-01901,D.D.C.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Fiber, LLC v. Ciena Corporation et al                                                                                                                                                                     ","Fiber, LLC                                                              ",7/23/12    ,1:12-cv-01914,D. Colo.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"KaiJet Technology International Limited v. Action Star Enterprise Co., Ltd.                                                                                                                               ","Action Star Enterprise Co., Ltd.                                        ",6/4/12     ,1:12-cv-01917,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Adair v. Boat Dock Innovations, LLC et al                                                                                                                                                                 ",Adair                                                                     ,6/4/12     ,1:12-cv-01930,N.D. Ga.   ,2. Individual/family trust                  ,1                    ,0                         ,7                   ,                                                                                                                                    
"Genzyme Corporation v. Invagen Pharmaceuticals, Inc.                                                                                                                                                      ",Genzyme Corporation                                                       ,4/19/12    ,1:12-cv-01931,E.D.N.Y.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Norwex USA Inc et al v. Sweports Ltd et al                                                                                                                                                                  ,Norwex USA Inc                                                            ,3/15/12    ,1:12-cv-01933,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Adair v. Custom Dock Systems, Inc. et al                                                                                                                                                                  ",Adair                                                                     ,6/4/12     ,1:12-cv-01936,N.D. Ga.   ,2. Individual/family trust                  ,1                    ,0                         ,3                   ,                                                                                                                                    
"GLYCOBIOSCIENCES, INC. v. ANIKA THERAPEUTICS, INC.                                                                                                                                                        ","GLYCOBIOSCIENCES, INC.                                                  ",12/6/12    ,1:12-cv-01963,D.D.C.     ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Otter Products, LLC v. Mophie, LLC                                                                                                                                                                        ","Otter Products, LLC                                                     ",7/27/12    ,1:12-cv-01969,D. Colo.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Automated Transactions LLC v. Sunoco, Inc.                                                                                                                                                                ",Automated Transactions LLC                                                ,3/16/12    ,1:12-cv-01977,S.D.N.Y.   ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
The Wiremold Company v. Next Generation Marketing et al                                                                                                                                                     ,The Wiremold Company                                                      ,3/19/12    ,1:12-cv-01980,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Wine Master Cellars, LLLP v. Apex Wine Cellars and Saunas, Inc. et al                                                                                                                                     ","Wine Master Cellars, LLLP                                               ",7/30/12    ,1:12-cv-01992,D. Colo.   ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
"Mobileye, Inc. et al v. Picitup Corp. et al                                                                                                                                                               ","Mobileye, Inc.                                                          ",3/16/12    ,1:12-cv-01994,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
"Evolve Composites, Inc. et al v. Diversitech Corporation                                                                                                                                                  ","Evolve Composites, Inc.                                                 ",6/12/12    ,1:12-cv-02028,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"SpaceCo Business Solutions, Inc. v. Mass Engineered Design, Inc. et al                                                                                                                                    ","Mass Engineered Design, Inc.                                            ",8/2/12     ,1:12-cv-02029,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Takeda Pharmaceutical Company Limited et al v. Mylan, Inc. et al                                                                                                                                          ",Takeda Pharmaceutical Company Limited                                     ,3/20/12    ,1:12-cv-02038,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Otter Products, LLC v. Aimo Wireless, Inc.                                                                                                                                                                ","Otter Products, LLC                                                     ",8/3/12     ,1:12-cv-02041,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Otter Products, LLC v. Beyond Electronics, Inc.                                                                                                                                                           ","Otter Products, LLC                                                     ",8/3/12     ,1:12-cv-02043,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Otter Products, LLC v. Eaglecell, Inc.                                                                                                                                                                    ","Otter Products, LLC                                                     ",8/3/12     ,1:12-cv-02044,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Otter Products, LLC v. Emax Wireless, Inc.                                                                                                                                                                ","Otter Products, LLC                                                     ",8/3/12     ,1:12-cv-02046,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Otter Products, LLC v. Reiko Wireless, Inc.                                                                                                                                                               ","Otter Products, LLC                                                     ",8/3/12     ,1:12-cv-02049,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Otter Products, LLC v. Sun Wireless, Inc.                                                                                                                                                                 ","Otter Products, LLC                                                     ",8/3/12     ,1:12-cv-02050,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Otter Products, LLC v. Wireless Complete.com, Corp.                                                                                                                                                       ","Otter Products, LLC                                                     ",8/3/12     ,1:12-cv-02051,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Design Pallets, Inc. v. Shandon Valley Transport Solutions USA, LLC et al                                                                                                                                 ","Design Pallets, Inc.                                                    ",8/8/12     ,1:12-cv-02094,D. Colo.   ,6. Operating company                        ,                     ,                          ,5                   ,                                                                                                                                    
"BSP Software LLC v. Motio, Inc.                                                                                                                                                                           ",BSP Software LLC                                                          ,3/22/12    ,1:12-cv-02100,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"O2COOL, LLC v. Windy City Novelties, Inc.                                                                                                                                                                 ","O2COOL, LLC                                                             ",3/22/12    ,1:12-cv-02109,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
"180s, Inc. et al v. Walgreen Co. et al                                                                                                                                                                    ","180s, Inc.                                                              ",7/17/12    ,1:12-cv-02117,D. Md.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
Neurografix et al v. The Johns Hopkins University et al                                                                                                                                                     ,NeuroGrafix                                                               ,7/23/12    ,1:12-cv-02181,D. Md.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Ames True Temper, Inc. v. Yeoman & Company                                                                                                                                                                ","Ames True Temper, Inc.                                                  ",11/2/12    ,1:12-cv-02193,M.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Asher v. Colgate-Palmolive Company                                                                                                                                                                          ,Asher                                                                     ,8/20/12    ,1:12-cv-02211,D. Colo.   ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,                                                                                                                                    
"On Track Innovations Ltd. v. T-Mobile USA, Inc.                                                                                                                                                           ",On Track Innovations Ltd.                                                 ,3/26/12    ,1:12-cv-02224,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"EdiSync Systems, LLC v. Adobe Systems, Inc.                                                                                                                                                               ","EdiSync Systems, LLC                                                    ",8/21/12    ,1:12-cv-02231,D. Colo.   ,8. Technology development company           ,                     ,                          ,1                   ,                                                                                                                                    
"Powell v. Jobar International, Inc.                                                                                                                                                                       ",Powell                                                                    ,9/4/12     ,1:12-cv-02247,N.D. Ohio  ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,                                                                                                                                    
"ATLeisure, LLC v. Red Star Traders, LLC                                                                                                                                                                   ","ATLeisure, LLC                                                          ",6/28/12    ,1:12-cv-02253,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Stertil-Koni USA, Inc. v. Vehicle Service Group, LLC d/b/a Rotary Lift                                                                                                                                    ","Stertil-Koni USA, Inc.                                                  ",7/30/12    ,1:12-cv-02254,D. Md.     ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Hunter-Douglas, Inc. et al v. OBA Perdesan Perde sanayi AS                                                                                                                                                ","Hunter-Douglas, Inc.                                                    ",3/27/12    ,1:12-cv-02256,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Rewards Network, Inc. v. Bloomspot, Inc.                                                                                                                                                                  ","Rewards Network, Inc.                                                   ",3/28/12    ,1:12-cv-02277,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Freyssinet, Inc. v. VSL International AG et al                                                                                                                                                            ","Freyssinet, Inc.                                                        ",8/1/12     ,1:12-cv-02282,D. Md.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Troxfire Training Solutions, LLC v. Power Jamb, LLC et al                                                                                                                                                 ","Power Jamb, LLC                                                         ",8/2/12     ,1:12-cv-02296,D. Md.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Lavagear Inc. v. Okamoto USA, Inc.                                                                                                                                                                        ",Lavagear Inc.                                                             ,5/10/12    ,1:12-cv-02317,E.D.N.Y.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Mid America Gutters, Inc. v. Thompson Creek Window Company et al                                                                                                                                          ","Mid America Gutters, Inc.                                               ",8/7/12     ,1:12-cv-02322,D. Md.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Droplets, Inc. v. E*Trade Financial Corporation et al                                                                                                                                                     ","Droplets, Inc.                                                          ",3/29/12    ,1:12-cv-02326,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,19                  ,                                                                                                                                    
"NUtech Ventures v. Norman Noble, Inc.                                                                                                                                                                     ",NUtech Ventures                                                           ,9/17/12    ,1:12-cv-02326,N.D. Ohio  ,1. University/College                       ,                     ,                          ,1                   ,                                                                                                                                    
"Fusionbrands, Inc. v. Cost Plus, Inc.                                                                                                                                                                     ","Fusionbrands, Inc.                                                      ",7/6/12     ,1:12-cv-02365,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Automated Facilities Management Corporation v. IFS North America, Inc.                                                                                                                                    ",Automated Facilities Management Corporation                               ,3/30/12    ,1:12-cv-02408,N.D. Ill.  ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Broadnet Teleservices, LLC v. Tele-Town Hall, LLC                                                                                                                                                         ","Broadnet Teleservices, LLC                                              ",9/11/12    ,1:12-cv-02409,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Recognicorp, LLC v. CCP hf et al                                                                                                                                                                          ","Recognicorp, LLC                                                        ",7/11/12    ,1:12-cv-02410,N.D. Ga.   ,5. Patent holding company                   ,                     ,                          ,2                   ,                                                                                                                                    
"Eclipse IP, LLC v. MeetMoi LLC                                                                                                                                                                            ","Eclipse IP, LLC                                                         ",4/2/12     ,1:12-cv-02430,N.D. Ill.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Hartford Fire Insurance Company v. Progressive Corporation, et al                                                                                                                                         ",Hartford Fire Insurance Company                                           ,9/28/12    ,1:12-cv-02444,N.D. Ohio  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Wausau Paper Towel & Tissue, LLC v. Nittany Paper Mills, Inc.                                                                                                                                             ","Wausau Paper Towel & Tissue, LLC                                        ",12/11/12   ,1:12-cv-02477,M.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"The American Parts Company, Inc. v. Advanced Technology International USA, LLC                                                                                                                            ","Advanced Technology International USA, LLC                              ",7/17/12    ,1:12-cv-02490,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Smart Options, LLC v. Jump Rope, Inc.                                                                                                                                                                     ","Smart Options, LLC                                                      ",4/4/12     ,1:12-cv-02498,N.D. Ill.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Winvic Sales Inc. v. Big Lots, Inc.                                                                                                                                                                       ",Winvic Sales Inc.                                                         ,4/5/12     ,1:12-cv-02528,N.D. Ill.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clearlamp, LLC v. LKQ Corporation                                                                                                                                                                         ","Clearlamp, LLC                                                          ",4/5/12     ,1:12-cv-02533,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Technical Consumer Products, Inc. v. Philips Solid-State Lighting Solutions, Inc., et al                                                                                                                  ","Philips Solid-State Lighting Solutions, Inc.,                           ",10/11/12   ,1:12-cv-02546,N.D. Ohio  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Expand International AB v. Tex Visions, LLC                                                                                                                                                               ",Expand International AB                                                   ,12/19/12   ,1:12-cv-02548,M.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Teva Pharmaceuticals USA, Inc. et al v. Synthon Pharmaceuticals, Inc. et al                                                                                                                               ","Teva Pharmaceuticals USA, Inc.                                          ",4/3/12     ,1:12-cv-02556,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
"OurPet?s Company v. Bergan, LLC                                                                                                                                                                           ",OurPetÕs Company                                                          ,10/16/12   ,1:12-cv-02586,N.D. Ohio  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Energizer Holdings, Inc. et al v. Wahl Clipper Corporation et al                                                                                                                                          ","Energizer Holdings, Inc.                                                ",4/11/12    ,1:12-cv-02640,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Wyers Products Group v. Cequent Performance Products, Inc.                                                                                                                                                ",Wyers Products Group                                                      ,10/5/12    ,1:12-cv-02640,D. Colo.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Ferring B.V. et al v. Allergan Inc. et al                                                                                                                                                                   ,Ferring B.V.                                                              ,4/5/12     ,1:12-cv-02650,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,8                   ,                                                                                                                                    
"Hitachi Koki Co., Ltd. v. Rexon Industrial Corporation, Ltd. et al                                                                                                                                        ","Hitachi Koki Co., Ltd.                                                  ",8/3/12     ,1:12-cv-02681,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Cosmo Films, Inc. v. Kangde Xin America LLC                                                                                                                                                               ","Cosmo Films, Inc.                                                       ",9/10/12    ,1:12-cv-02691,D. Md.     ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Verbovszky et al v. Britax Child Safety, Inc.                                                                                                                                                             ",Verbovszky                                                                ,10/29/12   ,1:12-cv-02702,N.D. Ohio  ,2. Individual/family trust                  ,0                    ,1                         ,1                   ,                                                                                                                                    
"Salix Pharmaceuticals, Inc. et al v. Lupin Limited et al                                                                                                                                                  ","Salix Pharmaceuticals, Inc.                                             ",9/10/12    ,1:12-cv-02708,D. Md.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
International Growers Supply Inc v. Atlantis Hydroponics Inc et al                                                                                                                                          ,International Growers Supply Inc                                          ,8/8/12     ,1:12-cv-02728,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,6                   ,                                                                                                                                    
Scholle Corporation v. Liqui-Box Corporation                                                                                                                                                                ,Scholle Corporation                                                       ,4/13/12    ,1:12-cv-02745,N.D. Ill.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Hewlett-Packard Company v. Innovatio IP Ventures, LLC                                                                                                                                                     ","Innovatio IP Ventures, LLC                                              ",4/11/12    ,1:12-cv-02773,N.D. Ill.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Quikblox TM, Inc. v. Colorado Time Systems, LLC et al                                                                                                                                                     ","Quikblox TM, Inc.                                                       ",11/8/12    ,1:12-cv-02803,N.D. Ohio  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"RHT Consulting, LLC v. Advanced Clinical Services, LLC                                                                                                                                                    ","RHT Consulting, LLC                                                     ",4/17/12    ,1:12-cv-02804,N.D. Ill.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Purdue Pharma L.P. et al v. Varam, Inc. et al                                                                                                                                                             ",Purdue Pharma L.P.                                                        ,4/10/12    ,1:12-cv-02814,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Nutramax Laboratories, Inc. v. Garmon Corporation t/a NaturVet                                                                                                                                            ","Nutramax Laboratories, Inc.                                             ",9/20/12    ,1:12-cv-02820,D. Md.     ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Great L&H Trading Inc. v. Oakley, Inc.                                                                                                                                                                    ","Oakley, Inc.                                                            ",4/11/12    ,1:12-cv-02829,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Astrazeneca Pharmaceuticals LP et al v. Intellipharmaceuticals Corporation et al                                                                                                                            ,Astrazeneca Pharmaceuticals LP                                            ,4/11/12    ,1:12-cv-02855,S.D.N.Y.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
