Case Name                                                                                                                   ,Patentee                                                                              ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,NBER Category,                                                                                                                                    
University of Washington v. The General Electric Company et al                                                              ,University of Washington                                                              ,30-Nov-10  ,2:10-cv-01933,W.D. Wash. ,1. University/College                       ,                     ,                          ,2                   ,2            ,                                                                                                                                    
"UniNet Imaging, Inc. et al v. Innovative Cartridge Technologies, Inc. et al                                               ","Innovative Cartridge Technologies, Inc.                                             ",17-Mar-10  ,2:10-cv-01938,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,5                   ,4            ,                                                                                                                                    
Richter v. Teletypeseting Co. Inc.                                                                                          ,Richter                                                                               ,4-Nov-10   ,2:10-cv-01948,D. Nev.    ,2. Individual/family trust                  ,0                    ,1                         ,1                   ,6            ,                                                                                                                                    
"Richter v. Namsung America, Inc.                                                                                          ",Richter                                                                               ,4-Nov-10   ,2:10-cv-01949,D. Nev.    ,2. Individual/family trust                  ,0                    ,1                         ,1                   ,6            ,                                                                                                                                    
ENDO PHARMACEUTICALS INC. v. ROXANE LABORATORIES INC.                                                                       ,ENDO PHARMACEUTICALS INC.                                                             ,16-Apr-10  ,2:10-cv-01964,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Astrazeneca UK Limited et al v. Watson Pharmaceuticals, Inc. et al                                                        ",Astrazeneca UK Limited                                                                ,10-Nov-10  ,2:10-cv-01969,D. Nev.    ,6. Operating company                        ,                     ,                          ,3                   ,1            ,                                                                                                                                    
"NeuroGrafix et al v. Siemens Medical Solutions USA, Inc. et al                                                            ",NeuroGrafix                                                                           ,18-Mar-10  ,2:10-cv-01990,C.D. Cal.  ,2. Individual/family trust                  ,0                    ,1                         ,2                   ,3            ,                                                                                                                                    
"NUVASIVE, INC. et al v. ORTHOFIX INTERNATIONAL N.V. et al                                                                 ","NUVASIVE, INC.                                                                      ",20-Apr-10  ,2:10-cv-01995,D.N.J.     ,6. Operating company                        ,                     ,                          ,6                   ,3            ,                                                                                                                                    
"Pugg Company, LLC v. Diadora Sport S.R.L. et al                                                                           ","Pugg Company, LLC                                                                   ",13-Dec-10  ,2:10-cv-02004,W.D. Wash. ,6. Operating company                        ,                     ,                          ,2                   ,6            ,                                                                                                                                    
"Advanced Card Technologies LLC v. Barry Fiala, Inc. et al                                                                 ",Advanced Card Technologies LLC                                                        ,8-Jan-10   ,2:10-cv-02018,W.D. Tenn. ,3. Large aggregator                         ,                     ,                          ,2                   ,6            ,                                                                                                                                    
"Advanced CNC Technologies, Inc v. Composite Concepts Company                                                              ",Composite Concepts Company                                                            ,16-Feb-10  ,2:10-cv-02023,W.D. Ark.  ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
"Worldslide LLC v. Wham-O, Inc. et al                                                                                      ",Worldslide LLC                                                                        ,29-Jul-10  ,2:10-cv-02025,E.D. Cal.  ,5. Patent holding company                   ,                     ,                          ,2                   ,5            ,                                                                                                                                    
Pandora Jewelry LLC v. Bajul Imports Inc                                                                                    ,Pandora Jewelry LLC                                                                   ,19-Feb-10  ,2:10-cv-02027,C.D. Ill.  ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Hassex, Inc et al v. Internet Services, LLC, Inc.                                                                         ","Hassex, Inc                                                                         ",22-Nov-10  ,2:10-cv-02035,D. Nev.    ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"CITY THEATRICAL, INC. v. TMB et al                                                                                        ","CITY THEATRICAL, INC.                                                               ",23-Apr-10  ,2:10-cv-02045,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,2            ,                                                                                                                                    
"KE Investments, LLC v. Lowe’s Companies, Inc. et al                                                                       ","KE Investments, LLC                                                                 ",23-Nov-10  ,2:10-cv-02048,D. Nev.    ,5. Patent holding company                   ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"TEVA WOMEN’S HEALTH, INC. v. WATSON LABORATORIES, INC. et al                                                              ","TEVA WOMEN’S HEALTH, INC.                                                           ",23-Apr-10  ,2:10-cv-02061,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"SMART TRIKE USA, LLC v. HEINZ KETTLER GMBH & CO. KG et al                                                                 ",HEINZ KETTLER GMBH & CO. KG                                                           ,23-Apr-10  ,2:10-cv-02063,D.N.J.     ,6. Operating company                        ,                     ,                          ,4                   ,5            ,                                                                                                                                    
Digitel LLC et al v. Hoffman Group LLC et al                                                                                ,Digitel LLC                                                                           ,27-Sep-10  ,2:10-cv-02064,D. Ariz.   ,6. Operating company                        ,                     ,                          ,2                   ,5            ,                                                                                                                                    
"Microsoft Corporation v Datel Design and Development Inc., et al                                                          ",Microsoft Corporation                                                                 ,23-Dec-10  ,2:10-cv-02065,W.D. Wash. ,6. Operating company                        ,                     ,                          ,5                   ,2            ,                                                                                                                                    
ABBOTT LABORATORIES et al v. MYLAN PHARMACEUTICALS INC. et al                                                               ,ABBOTT LABORATORIES                                                                   ,23-Apr-10  ,2:10-cv-02073,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"Garmin International, Inc. v. Pioneer Corporation et al                                                                   ",Pioneer Corporation                                                                   ,8-Feb-10   ,2:10-cv-02080,D. Kan.    ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"Bushnell Inc. v. Leupold & Stevens, Inc.                                                                                  ",Bushnell Inc.                                                                         ,9-Feb-10   ,2:10-cv-02081,D. Kan.    ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
"Shoup v. Shoup Manufacturing, Inc.                                                                                        ",Shoup                                                                                 ,13-Apr-10  ,2:10-cv-02086,C.D. Ill.  ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,6            ,                                                                                                                                    
"Allvoice Developments US, LLC v. Microsoft Corp.                                                                          ","Allvoice Developments US, LLC                                                       ",21-Dec-10  ,2:10-cv-02102,W.D. Wash. ,5. Patent holding company                   ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"Essociate, Inc. v. Blue Whaler Investments, LLC et al                                                                     ","Essociate, Inc.                                                                     ",23-Mar-10  ,2:10-cv-02107,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,8                   ,2            ,                                                                                                                                    
"ABBOTT LABORATORIES et al v. WATSON LABORATORIES, INC.-FLORIDA et al                                                      ",ABBOTT LABORATORIES                                                                   ,27-Apr-10  ,2:10-cv-02139,D.N.J.     ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
"INTEMPCO CONTROLS LTD. v. ENDRESS+HAUSER, INC. et al                                                                      ",INTEMPCO CONTROLS LTD.                                                                ,28-Apr-10  ,2:10-cv-02152,D.N.J.     ,6. Operating company                        ,                     ,                          ,9                   ,4            ,                                                                                                                                    
"CSB-SYSTEM INTERNATIONAL INC. v. SAP AMERICA, INC.                                                                        ",CSB-SYSTEM INTERNATIONAL INC.                                                         ,11-May-10  ,2:10-cv-02156,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
Greene Le Consulting & Trade Corp v. Renosky et al                                                                          ,Renosky                                                                               ,19-Aug-10  ,2:10-cv-02171,D.S.C.     ,2. Individual/family trust                  ,0                    ,1                         ,1                   ,6            ,                                                                                                                                    
"Jake Lee v. Mike’s Novelties, Inc. et al                                                                                  ",Jake Lee                                                                              ,26-Mar-10  ,2:10-cv-02225,C.D. Cal.  ,2. Individual/family trust                  ,1                    ,0                         ,2                   ,6            ,                                                                                                                                    
"Man Machine Interface Technologies, LLC v. Philips Electronic North America Corporation                                   ","Man Machine Interface Technologies, LLC                                             ",26-Mar-10  ,2:10-cv-02232,C.D. Cal.  ,5. Patent holding company                   ,                     ,                          ,1                   ,2            ,                                                                                                                                    
Pacific Scientific Energetic Materials Company (Arizona) LLC et al v. Ensign-Bickford Aerospace & Defense Company           ,Ensign-Bickford Aerospace & Defense Company                                           ,21-Oct-10  ,2:10-cv-02252,D. Ariz.   ,6. Operating company                        ,                     ,                          ,2                   ,1            ,                                                                                                                                    
Supermarket Energy Technologies LLC v. Supermarket Energy Solutions Incorporated                                            ,Supermarket Energy Technologies LLC                                                   ,26-Oct-10  ,2:10-cv-02288,D. Ariz.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Bushnell, Inc et al v. Wildgame Innovations, LLC. et al                                                                   ","Bushnell, Inc                                                                       ",28-May-10  ,2:10-cv-02302,D. Kan.    ,6. Operating company                        ,                     ,                          ,2                   ,4            ,                                                                                                                                    
"MERCK & CO, INC. et al v. SANDOZ INC.                                                                                     ","MERCK & CO, INC.                                                                    ",6-May-10   ,2:10-cv-02308,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
ABBOTT LABORATORIES et al v. ACTAVIS ELIZABETH LLC et al                                                                    ,ABBOTT LABORATORIES                                                                   ,7-May-10   ,2:10-cv-02352,D.N.J.     ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
"AB COASTER HOLDINGS, INC. et al v. MERCHANT MEDIA LLC et al                                                               ","AB COASTER HOLDINGS, INC.                                                           ",7-May-10   ,2:10-cv-02366,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,5            ,                                                                                                                                    
Ever Win International Corporation v. Magnadyne Corporation et al                                                           ,Ever Win International Corporation                                                    ,31-Mar-10  ,2:10-cv-02368,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,4            ,                                                                                                                                    
"Custom Leathercraft Mfg. Co., Inc. v. Pull’R Holding Company, LLC et al                                                   ","Custom Leathercraft Mfg. Co., Inc.                                                  ",1-Apr-10   ,2:10-cv-02399,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,6            ,                                                                                                                                    
Avtech Corp v. Day-Ray Products Inc                                                                                         ,Avtech Corp                                                                           ,1-Apr-10   ,2:10-cv-02405,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
MechoShade Systems Incorporated v. Draper Incorporated et al                                                                ,MechoShade Systems Incorporated                                                       ,12-Nov-10  ,2:10-cv-02470,D. Ariz.   ,6. Operating company                        ,                     ,                          ,3                   ,5            ,                                                                                                                                    
GAMMINO v. SPRINT NEXTEL CORPORATION et al                                                                                  ,GAMMINO                                                                               ,20-May-10  ,2:10-cv-02493,E.D. Pa.   ,2. Individual/family trust                  ,1                    ,0                         ,6                   ,2            ,                                                                                                                                    
"Rogerson Technology Inc v. Granger Plastics Company, The                                                                  ",Rogerson Technology Inc                                                               ,27-Sep-10  ,2:10-cv-02521,D.S.C.     ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
"The Irrevocable Trust of Anthony J. Antonious v. Merchants of Golf, Inc.                                                  ",The Irrevocable Trust of Anthony J. Antonious                                         ,12-Apr-10  ,2:10-cv-02634,C.D. Cal.  ,2. Individual/family trust                  ,0                    ,1                         ,1                   ,6            ,                                                                                                                                    
"TELEBRANDS CORP. v. GRACE MANUFACTURING, INC.                                                                             ","GRACE MANUFACTURING, INC.                                                           ",26-May-10  ,2:10-cv-02693,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"New Angle Pet Products, Inc. et al v. Absolutelynew, Inc.                                                                 ","New Angle Pet Products, Inc.                                                        ",14-Jun-10  ,2:10-cv-02700,E.D.N.Y.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"New Angle Pet Products, Inc. et al v. Kingsbridge International, Inc.                                                     ","New Angle Pet Products, Inc.                                                        ",14-Jun-10  ,2:10-cv-02701,E.D.N.Y.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Asentinel LLC v. AnchorPoint, Inc. et al                                                                                  ",Asentinel LLC                                                                         ,28-Sep-10  ,2:10-cv-02706,W.D. Tenn. ,6. Operating company                        ,                     ,                          ,6                   ,2            ,                                                                                                                                    
"Meridianlink, Inc. v. DH Holdings, LLC                                                                                    ","DH Holdings, LLC                                                                    ",14-Apr-10  ,2:10-cv-02708,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"SOURCE SEARCH TECHNOLOGIES, LLC v. ZILLOW, INC.                                                                           ","SOURCE SEARCH TECHNOLOGIES, LLC                                                     ",27-May-10  ,2:10-cv-02717,D.N.J.     ,5. Patent holding company                   ,                     ,                          ,1                   ,2            ,                                                                                                                                    
BAYER HEALTHCARE PHARMACEUTICALS INC. v. BIOGEN IDEC INC.                                                                   ,BAYER HEALTHCARE PHARMACEUTICALS INC.                                                 ,27-May-10  ,2:10-cv-02734,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Creative Integrated Systems, Inc. v. Nintendo of America, Inc. et al                                                      ","Creative Integrated Systems, Inc.                                                   ",14-Apr-10  ,2:10-cv-02735,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,5                   ,2            ,                                                                                                                                    
"BIOGEN IDEC MA INC. v. EMD SERONO, INC. et al                                                                             ",BIOGEN IDEC MA INC.                                                                   ,28-May-10  ,2:10-cv-02760,D.N.J.     ,6. Operating company                        ,                     ,                          ,6                   ,3            ,                                                                                                                                    
"Glaxo Group Limited et al v. Genentech, Inc. et al                                                                        ","Genentech, Inc.                                                                     ",15-Apr-10  ,2:10-cv-02764,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,4                   ,3            ,                                                                                                                                    
SANOFI-AVENTIS U.S. LLC et al v. ACTAVIS INC. et al                                                                         ,SANOFI-AVENTIS U.S. LLC                                                               ,24-May-10  ,2:10-cv-02795,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"MedIdea, LLC v. Smith & Nephew, Inc.                                                                                      ","MedIdea, LLC                                                                        ",10-Nov-10  ,2:10-cv-02804,W.D. Tenn. ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Vellata, LLC v. Hearst Communications, Inc et al                                                                          ","Vellata, LLC                                                                        ",16-Apr-10  ,2:10-cv-02832,C.D. Cal.  ,5. Patent holding company                   ,                     ,                          ,2                   ,2            ,                                                                                                                                    
ABBOTT LABORATORIES et al v. RANBAXY LABORATORIES LTD. et al                                                                ,ABBOTT LABORATORIES                                                                   ,4-Jun-10   ,2:10-cv-02869,D.N.J.     ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
ELAN PHARMA INTERNATIONAL LTD. et al v. RANBAXY LABORATORIES LTD. et al                                                     ,ELAN PHARMA INTERNATIONAL LTD.                                                        ,4-Jun-10   ,2:10-cv-02872,D.N.J.     ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
"ARKEMA INC. et al v. HONEYWELL INTERNATIONAL, INC.                                                                        ","HONEYWELL INTERNATIONAL, INC.                                                       ",16-Jun-10  ,2:10-cv-02886,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,2                   ,1            ,                                                                                                                                    
"MILLENNIUM, L.P. v. KNOWLEDGELAKE, INC.                                                                                   ","MILLENNIUM, L.P.                                                                    ",10-Jun-10  ,2:10-cv-02937,D.N.J.     ,5. Patent holding company                   ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"DBA Disbursement Company, Incorporated v. SJF Food & Beverage Carriers, Inc. et al                                        ","DBA Disbursement Company, Incorporated                                              ",29-Jun-10  ,2:10-cv-02998,E.D.N.Y.   ,6. Operating company                        ,                     ,                          ,2                   ,6            ,                                                                                                                                    
"ABBOTT LABORATORIES et al v. ANCHEN PHARMACEUTICALS, INC.                                                                 ",ABBOTT LABORATORIES                                                                   ,14-Jun-10  ,2:10-cv-03015,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Newport Controls, LLC v. Balboa Instruments, Inc.                                                                         ","Balboa Instruments, Inc.                                                            ",23-Apr-10  ,2:10-cv-03082,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,2            ,                                                                                                                                    
SCHERING CORPORATION et al v. MYLAN PHARMACEUTICALS INC. et al                                                              ,SCHERING CORPORATION                                                                  ,16-Jun-10  ,2:10-cv-03085,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"Altinex, Inc. v. CTAM, Inc. et al                                                                                         ","Altinex, Inc.                                                                       ",26-Apr-10  ,2:10-cv-03111,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,5                   ,6            ,                                                                                                                                    
Northrop Grumman Systems Corporation v. Siemens Audiologische Technik GMBH et al                                            ,Northrop Grumman Systems Corporation                                                  ,26-Apr-10  ,2:10-cv-03120,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,15                  ,4            ,                                                                                                                                    
"INFINITY COMPUTER PRODUCTS, INC. v. BROTHER INTERNATIONAL CORPORATION et al                                               ","INFINITY COMPUTER PRODUCTS, INC.                                                    ",30-Jun-10  ,2:10-cv-03175,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,15                  ,2            ,                                                                                                                                    
"CARTER CONTROL SYSTEMS, INC. v. CAPITOL CONVEYORS, INC. et al                                                             ","CARTER CONTROL SYSTEMS, INC.                                                        ",2-Jul-10   ,2:10-cv-03225,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,3                   ,5            ,                                                                                                                                    
"Abbott Laboratories et al v. Watson Laboratories, Inc.-Florida et al                                                      ",Abbott Laboratories                                                                   ,25-Jun-10  ,2:10-cv-03241,D.N.J.     ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
PFIZER INC. et al v. MYLAN INC. et al                                                                                       ,PFIZER INC.                                                                           ,24-Jun-10  ,2:10-cv-03246,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"PFIZER INC. et al v. SANDOZ, INC.                                                                                         ",PFIZER INC.                                                                           ,24-Jun-10  ,2:10-cv-03250,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"NetAirus Technologies, LLC v. Apple Inc.                                                                                  ","NetAirus Technologies, LLC                                                          ",30-Apr-10  ,2:10-cv-03257,C.D. Cal.  ,5. Patent holding company                   ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"Huntwise, Inc. v. Higdon Motion Decoy Systems, Inc.                                                                       ","Huntwise, Inc.                                                                      ",24-Sep-10  ,2:10-cv-03281,E.D. La.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"ANTI-PINCH SOLUTIONS, LLC v. BMW OF NORTH AMERICA, LLC                                                                    ","ANTI-PINCH SOLUTIONS, LLC                                                           ",30-Jun-10  ,2:10-cv-03352,D.N.J.     ,3. Large aggregator                         ,                     ,                          ,1                   ,4            ,                                                                                                                                    
"Worldwide Integrated Resources, Inc. v. Harper Brush Works, Inc. et al                                                    ","Worldwide Integrated Resources, Inc.                                                ",5-May-10   ,2:10-cv-03366,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"CELGENE CORPORATION et al v. SUN PHARMACEUTICAL INDUSTRIES, INC.                                                          ",CELGENE CORPORATION                                                                   ,1-Jul-10   ,2:10-cv-03378,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Silverlit Toys Manufactory Ltd. et al v. Toyrrific, LLC et al                                                             ",Silverlit Toys Manufactory Ltd.                                                       ,6-May-10   ,2:10-cv-03414,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,9                   ,6            ,                                                                                                                                    
"TYCO FIRE PRODUCTS LP v. THE RELIABLE AUTOMATIC SPRINKLER CO., INC.                                                       ",TYCO FIRE PRODUCTS LP                                                                 ,13-Jul-10  ,2:10-cv-03446,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"TYCO FIRE PRODUCTS LP v. THE RELIABLE AUTOMATIC SPRINKLER CO., INC.                                                       ",TYCO FIRE PRODUCTS LP                                                                 ,13-Jul-10  ,2:10-cv-03447,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Iddea California, LLC v. Mohr Manufacturing, Inc. et al                                                                   ","Iddea California, LLC                                                               ",10-May-10  ,2:10-cv-03470,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,5            ,                                                                                                                                    
"Iddea California, LLC v. Cap World, Inc. et al                                                                            ","Iddea California, LLC                                                               ",10-May-10  ,2:10-cv-03471,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,5            ,                                                                                                                                    
"ABBOTT LABORATORIES et al v. TEVA PHARMACEUTICALS USA, INC.                                                               ",ABBOTT LABORATORIES                                                                   ,9-Jul-10   ,2:10-cv-03482,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"ELAN PHARMA INTERNATIONAL LTD. et al v. TEVA PHARMACEUTICALS USA, INC.                                                    ",ELAN PHARMA INTERNATIONAL LTD.                                                        ,9-Jul-10   ,2:10-cv-03495,D.N.J.     ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Karl Storz GMBH & Co. KG v. Integrated Medical Systems International, Inc                                                 ",Karl Storz GMBH & Co. KG                                                              ,21-Dec-10  ,2:10-cv-03547,N.D. Ala.  ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"ROCHE PALO ALTO LLC et al v. LUPIN PHARMACEUTICALS, INC. et al                                                            ",ROCHE PALO ALTO LLC                                                                   ,14-Jul-10  ,2:10-cv-03561,D.N.J.     ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"ALL-LUMINUM PRODUCTS, INC. v. E-Z SALES & MANUFACTURING, INC et al                                                        ","ALL-LUMINUM PRODUCTS, INC.                                                          ",21-Jul-10  ,2:10-cv-03566,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,2                   ,6            ,                                                                                                                                    
